step,smiles,weight,DockScore,raw_DockScore,agent_likelihood,prior_likelihood,augmented_likelihood
731.0,O=C(Nc1cc(-c2ccc3c(c2)CCC3)n[nH]1)c1ccc2ncccc2c1,0.7102439403533936,0.71024394,-10.623,-10.78087,-27.68627,14.928366661071777
731.0,NNC(=O)c1cc(-c2ccc(-c3ccc4c(c3)OCO4)cc2)ccc1O,0.8294293284416199,0.8294293,-11.099,-9.635818,-26.729298,23.03646206855774
731.0,O=C(c1ccc2cc3c(cc2n1)OCCO3)N1CCc2ccccc2C1O,0.9158685803413391,0.9158686,-11.659,-19.03391,-34.425125,20.526989698410034
731.0,O=C(NC1CCN(c2ccc3nnnn3n2)CC1)c1cc(-c2ccccc2)on1,0.8933640718460083,0.8933641,-11.477,-17.485832,-42.66235,10.939494609832764
731.0,O=C(C1COc2cc(-c3ccc4c(c3)CCC4)ccc2O1)c1ccoc1,0.7187568545341492,0.71875685,-10.652,-23.49971,-59.743847,-16.618435621261597
731.0,O=C(c1nc2c(s1)CCC2)N1CCC(n2nnc3ccccc32)C1,0.17220567166805267,0.17220567,-8.909,-22.672438,-36.883335,-26.55099481344223
731.0,O=C(Cc1ccnc(O)c1)N1CCC(c2ccc3cc(F)ccc3c2)C1,0.7400516867637634,0.7400517,-10.727,-17.459063,-42.669617,1.7334845066070557
731.0,O=C(c1ccc2c(c1)CCCO2)c1nc(-c2cc3c(F)cccc3[nH]2)no1,0.7879267930984497,0.7879268,-10.912,-11.997135,-44.50761,2.7679972648620605
731.0,O=C(Nc1cccn(-c2ccc3c(c2)CCCO3)c1=O)c1ccc(F)cc1F,0.6622877717018127,0.6622878,-10.468,-18.357273,-48.4939,-8.756633996963501
731.0,CNC(=O)c1cc(NC(=O)N2CCN(c3ccccn3)CC2)ccc1F,0.6097177267074585,0.6097177,-10.31,-14.378533,-19.801487,16.78157663345337
731.0,O=C(c1cc2cc(F)c(F)cc2o1)N1CCN(c2ccccc2)CC1,0.5945494174957275,0.5945494,-10.266,-16.246979,-23.698406,11.97455883026123
731.0,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccc(-c2ccccc2)cc1,0.6664593815803528,0.6664594,-10.481,-10.197586,-18.572517,21.415045499801636
731.0,NNC(=O)c1ccc(-c2cnn(-c3ccc4cc[nH]c4c3)c2)cc1,0.5208550691604614,0.52085507,-10.058,-14.901403,-30.574877,0.6764273643493652
731.0,NNC(=O)c1nc2cc(NC(=O)c3ccc4ncccc4c3)ccc2o1,0.736994743347168,0.73699474,-10.716,-12.544803,-21.617823,22.60186195373535
731.0,O=C(NCc1ccc2c(c1)OCCCO2)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,0.7547205686569214,0.75472057,-10.781,-10.706472,-21.66206,23.621174335479736
731.0,NNC(=O)c1ccc(-c2cccc(NC(=O)c3ccc4ccccc4c3)c2)cc1F,0.815784752368927,0.81578475,-11.034,-14.250942,-38.34684,10.600245237350464
731.0,O=C(Nc1cc(-c2nc3cccnc3[nH]2)co1)c1ccc2[nH]nnc2c1,0.8236526250839233,0.8236526,-11.071,-14.611938,-35.485397,13.933760166168213
731.0,NNC(=O)c1ccc2c(c1)CC(=O)c1cc(-c3ccc4cccnc4n3)ccc1-2,0.2585664689540863,0.25856647,-9.268,-15.278516,-50.686523,-35.17253530025482
731.0,NNC(=O)c1ccc(-c2ccc(-c3ccc(F)c(F)c3)o2)c(O)c1F,0.46265268325805664,0.46265268,-9.896,-16.182922,-42.781673,-15.022512435913086
731.0,O=C1Cc2cc(-c3ccc4cc[nH]c4n3)ccc2CN1,0.19145944714546204,0.19145945,-8.999,-13.590604,-25.35242,-13.864853978157043
731.0,O=C(NCc1noc(-c2ccc3ccncc3c2)n1)c1ccc2cn[nH]c2c1,0.8405302166938782,0.8405302,-11.155,-14.192031,-32.457455,17.974358320236206
731.0,O=C(Cc1cc(-c2ccc3c(c2)OCO3)[nH]n1)c1n[nH]c2ncccc12,0.6337417960166931,0.6337418,-10.381,-18.379625,-30.121979,7.902529001235962
731.0,OC=C(c1ccn(-c2ccc3cccc(F)c3n2)n1)N1CCC(O)C1,0.4512256681919098,0.45122567,-9.864,-19.435759,-31.612799,-4.539258599281311
731.0,O=C(c1ccn2ccnc2c1)N1CCc2cc(-c3ccc(F)cc3)[nH]c2C1,0.0631563663482666,0.06315637,-8.126,-16.9748,-35.299984,-31.51060199737549
731.0,O=C(c1ccc2c(c1)Cc1cc(-c3ccc4[nH]cnc4c3)on1)N2,0.5197775363922119,0.51977754,-10.055,-20.489653,-44.016876,-12.83022403717041
731.0,O=C(c1ccc2nc3c(c(=O)[nH]c3c2c1)CCCC1CCCCC1)N1CC1,0.4044102728366852,0.40441027,-9.731,-17.188782,-42.567238,-18.302621483802795
731.0,O=C(c1cc(-c2ccc3c(c2)OCCO3)ncn1)N1CCc2cccnc2C1,0.7706058621406555,0.77060586,-10.842,-15.10615,-45.193768,1.0425841808319092
731.0,NNC(=O)c1cccc(CNc2cnn(-c3ccccc3F)c2)c1F,0.4037172198295593,0.40371722,-9.729,-17.321,-31.935001,-7.711968183517456
731.0,O=C1CCC(Nc2cc(-c3cc(F)c(F)c(F)c3)no2)CN1C1CC1,0.33098629117012024,0.3309863,-9.511,-27.456322,-38.256145,-18.396968007087708
731.0,OC=C(Nc1nnc(-c2cc3ccccc3oc2=O)o1)c1ccc2[nH]cnc2c1,0.9109760522842407,0.91097605,-11.616,-15.503616,-33.791748,20.866815090179443
731.0,O=C(c1ccc(F)cc1)c1cc(-c2ccc3nccnc3c2)[nH]n1,0.3662582039833069,0.3662582,-9.619,-17.387722,-37.383656,-15.40816330909729
731.0,O=C(Nc1ccc2cc(F)ccc2c1)Nc1cnc2n1CCC2,0.29213112592697144,0.29213113,-9.385,-15.383445,-38.02366,-20.49579119682312
731.0,O=C(Cc1ccc2cn[nH]c2c1)Nc1ccc(N2CCc3ncccc3C2)o1,0.724825382232666,0.7248254,-10.673,-18.7147,-43.78532,-0.29579734802246094
731.0,NCC(=O)N1CCN(c2cnc3cc(F)c(F)cc3c2)CC1,0.35927218198776245,0.35927218,-9.598,-18.157963,-27.371586,-5.8152549266815186
731.0,O=C(Cc1ccc2c(c1)CCCC2)NCc1cccc(-c2ncc3ccccc3n2)c1,0.7690759301185608,0.76907593,-10.836,-20.676435,-59.47879,-13.334234476089478
731.0,NNC(=O)c1cnn(-c2ccc(NC(=O)c3ccc4cc[nH]c4n3)cn2)c1,0.7746508121490479,0.7746508,-10.858,-17.86553,-30.430273,16.048775672912598
731.0,O=C(C1CCN(c2nc3ccccc3o2)CC1)N1CCC2(CC1)OCCO2,0.8111996650695801,0.81119967,-11.013,-13.526411,-16.968771,31.703208923339844
731.0,NNC(=O)c1cc(-c2ccc(NC(=O)c3cc4ccccc4[nH]3)cc2)c[nH]1,0.6850596070289612,0.6850596,-10.54,-15.055118,-31.250032,9.853543996810913
731.0,NNC(=O)c1cc(-c2ccc(-c3cccc(-c4ccccc4)n3)nc2)ccc1O,0.8316572904586792,0.8316573,-11.11,-16.263393,-47.572918,2.32651948928833
